0	p1	p2	q1	q2
1	0	0	120.192	113.554
2	0	0	112.2	118.068
3	0	0	106.642	110.168
4	18.601	17.804	88.968	94.68
5	0	0	106.254	111.181
6	0	0	137.361	126.071
7	28.601	32.894	97.185	107.063
8	0	0	103.354	128.934
9	0	0	117.793	127.399
10	0	0	106.559	105.815
11	74	77.929	85.006	80.654
12	53.367	55.543	98.005	96.083
13	48.826	58.034	77.492	87.702
14	46.174	54.589	98.995	103.257
15	0	0	101.056	88.429
16	0	0	118.083	122.024
17	22.023	25.08	66.543	62.968
18	0	0	150.359	134.221
19	53.6	53.759	62.968	65.46
20	55.145	53.666	108.261	112.753
21	35.903	44.721	82.022	70.385
22	0	0	97.096	90.332
23	0	0	112.318	109.417
24	0	0	117.924	86.833
25	0	0	128.129	118.596
26	0	0	156.548	137.344
27	0	0	127.17	109.38
28	0	0	101.387	127.551
29	0	0	107.253	102.528
30	0	0	120.27	107.652
31	0	0	128.229	127.374
32	25.179	27.731	88.814	90.078
33	0	0	97.15	112.989
34	0	0	108.028	120.645
35	0	0	112.925	103.078
36	0	0	97.194	103.266
37	0	0	107.534	103
38	72.111	82.873	89.078	98.955
39	36.139	44.643	101.074	82.006
40	42	49.336	84.481	79.12
41	0	0	100.157	98.956
42	0	0	135.115	139.719
43	0	0	104.809	112.588
44	0	0	104.03	102.811
45	0	0	121.054	124.908
46	0	0	119.422	116.005
47	54.818	63.632	68.447	79.271
48	54.083	52	56.939	59.548
49	46.872	63.037	96.626	103.486
50	63.411	61.614	78	82.059
