0	p1	p2	q1	q2
1	0	0	138.275	137.829
2	52.394	56.125	122.856	115.797
3	0	0	110.278	137.12
4	0	0	130.908	135.105
5	96.308	84.221	124.81	115.326
6	0	0	136.38	134.666
7	0	0	159.307	139.639
8	53.413	58.523	111.474	112.371
9	0	0	143.649	136.232
10	65.949	75.401	131.239	139.371
11	65.962	63	106.347	85.146
12	13.342	10.63	124.448	131.114
13	88.317	80.337	106.758	103.62
14	80.785	90.688	106.026	114.82
15	0	0	113.419	121.74
16	0	0	168.431	167.045
17	70.491	64.326	150.416	134.909
18	36.409	37.121	113.004	108.237
19	0	0	124.618	149.506
20	72.978	70.201	118.636	130.993
21	0	0	133.615	142.187
22	0	0	168.763	168.033
23	0	0	153.334	166.417
24	0	0	120.597	115.922
25	0	0	133.466	148.762
26	44.961	44.643	117.964	103.391
27	59.484	68.156	128.37	137.003
28	0	0	136.378	148.977
29	73.089	71.826	77.147	77.303
30	76.271	81.343	82.41	79.017
31	0	0	115.13	140.094
32	0	0	131.251	138.335
33	0	0	134.845	141.224
34	82.028	65.513	92.551	84.778
35	45.453	47.011	112.447	115.643
36	0	0	126.424	116.873
37	0	0	144.915	133.334
38	68.928	66.851	98.228	93.892
39	0	0	131.383	126.641
40	0	0	143.355	131.886
41	57.201	54.452	87.364	112.026
42	0	0	161.677	155.013
43	0	0	139.766	154.679
44	0	0	134.987	139.562
45	0	0	117.331	141.461
46	0	0	119.974	121.511
47	0	0	129.344	118.339
48	0	0	131.301	136.546
49	0	0	94.641	113.333
50	0	0	137.297	152.7
